# phase_3 profile dump
# day=2026-04-16 device=cuda n_steps=10419 rollout_wall_s=78.118 ms_per_step=7.498
# obs_dim=574 action_n=43 max_runners=14 races=56
# env+shim build_s=39.82
# python=3.14.3 torch=2.11.0+cu126

=== sorted by cumulative (top 50) ===
         40642834 function calls (40205106 primitive calls) in 77.890 seconds

   Ordered by: cumulative time
   List reduced from 462 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   489693    0.369    0.000    0.369    0.000 C:\Users\jsmit\AppData\Roaming\Python\Python314\site-packages\torch\nn\modules\module.py:1955(__getattr__)
    10419    0.369    0.000    0.369    0.000 {method 'softmax' of 'torch._C.TensorBase' objects}



=== callers of env.step ===
   Ordered by: cumulative time
   List reduced from 462 to 50 due to restriction <50>
   List reduced from 50 to 1 due to restriction <'betfair_env.py:.*step'>

Function                                                              was called by...
                                                                          ncalls  tottime  cumtime
C:\Users\jsmit\source\repos\rl-betfair\env\betfair_env.py:2923(step)  <-   10419    0.279   11.467  C:\Users\jsmit\source\repos\rl-betfair\agents_v2\env_shim.py:241(step)


