# phase_3 profile dump
# day=2026-04-16 device=cpu n_steps=10419 rollout_wall_s=61.367 ms_per_step=5.890
# obs_dim=574 action_n=43 max_runners=14 races=56
# env+shim build_s=48.78
# python=3.14.3 torch=2.11.0+cu126

=== sorted by cumulative (top 50) ===
         40746142 function calls (40308414 primitive calls) in 61.128 seconds

   Ordered by: cumulative time
   List reduced from 462 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
229218/10419    0.478    0.000   19.975    0.002 C:\Users\jsmit\AppData\Roaming\Python\Python314\site-packages\torch\nn\modules\module.py:1775(_wrapped_call_impl)
   229218    0.450    0.000    0.450    0.000 {built-in method torch._C._get_tracing_state}
    52095    0.433    0.000    0.433    0.000 {method 'reshape' of 'torch._C.TensorBase' objects}
   721492    0.420    0.000    0.596    0.000 {built-in method builtins.max}
    31257    0.405    0.000    0.405    0.000 {built-in method torch.relu}
   614227    0.396    0.000    2.244    0.000 {method 'clip' of 'numpy.ndarray' objects}
   390594    0.388    0.000    0.388    0.000 <string>:2(__init__)
   489693    0.357    0.000    0.357    0.000 C:\Users\jsmit\AppData\Roaming\Python\Python314\site-packages\torch\nn\modules\module.py:1955(__getattr__)
    57210    0.351    0.000    1.103    0.000 C:\Users\jsmit\source\repos\rl-betfair\env\tick_ladder.py:103(tick_offset)
    10420    0.351    0.000    1.627    0.000 C:\Users\jsmit\source\repos\rl-betfair\env\betfair_env.py:2491(_get_info)
  1474727    0.350    0.000    0.350    0.000 {method 'get' of 'dict' objects}
    56008    0.331    0.000    0.331    0.000 {method 'squeeze' of 'torch._C.TensorBase' objects}
   125028    0.331    0.000    4.817    0.000 C:\Users\jsmit\AppData\Roaming\Python\Python314\site-packages\torch\nn\modules\linear.py:130(forward)
  2226428    0.323    0.000    0.323    0.000 {built-in method builtins.len}
   164186    0.321    0.000    0.613    0.000 C:\Users\jsmit\source\repos\rl-betfair\training_v2\scorer\feature_extractor.py:341(_band_index_and_snap)
   634225    0.319    0.000    0.319    0.000 C:\Users\jsmit\source\repos\rl-betfair\env\tick_ladder.py:75(_band_for)
    41676    0.315    0.000    0.315    0.000 {method 'copy_' of 'torch._C.TensorBase' objects}
   369532    0.314    0.000    0.364    0.000 C:\Users\jsmit\source\repos\rl-betfair\training_v2\scorer\feature_extractor.py:450(_value_delta)
   532489    0.298    0.000    0.405    0.000 {built-in method builtins.min}
  1339279    0.296    0.000    0.307    0.000 {built-in method builtins.getattr}
    41676    0.291    0.000    0.291    0.000 {built-in method torch.sigmoid}
    31257    0.290    0.000    5.748    0.000 C:\Users\jsmit\AppData\Roaming\Python\Python314\site-packages\torch\nn\modules\container.py:248(forward)
    10419    0.289    0.000    0.289    0.000 {built-in method torch._sample_dirichlet}
   400843    0.281    0.000    0.344    0.000 C:\Users\jsmit\source\repos\rl-betfair\training_v2\scorer\feature_extractor.py:423(_prune)



=== callers of env.step ===
   Ordered by: cumulative time
   List reduced from 462 to 50 due to restriction <50>
   List reduced from 50 to 1 due to restriction <'betfair_env.py:.*step'>

Function                                                              was called by...
                                                                          ncalls  tottime  cumtime
C:\Users\jsmit\source\repos\rl-betfair\env\betfair_env.py:2923(step)  <-   10419    0.255   12.259  C:\Users\jsmit\source\repos\rl-betfair\agents_v2\env_shim.py:241(step)


