cohort,selector,window,fc,n,mean_pnl_pd,mean_locked_pd,mean_naked_pd,mean_naked_std,n_profitable_agents,agent_ids
layq,score_a_pure_locked,newwindow,120,5,-21.912024093141483,31.873568201272793,-11.048544495661348,160.33483681355148,0,"abdfa0f3-3acc-431e-9230-5b3850e8a708,2e92886c-f87e-40c3-b821-25a27f2eab5d,9b3a2b39-ab65-40a9-aeea-9ed52c317eae,d66d78ab-eb21-40bf-a554-c14fd75ca2f5,c8c92859-be8f-4fa0-8491-daae4f8e6709"
layq,score_b_per_leg_sharpe,oldwindow,0,5,-78.06445711562034,52.00201881650414,-118.00433561227842,204.05740871376574,1,"9394c439-5763-47b5-a996-af4099e50c32,f1a118cf-c8cb-49c9-991c-b4defe639457,942240e3-889e-4040-bac2-a8607160155d,caf52684-5cbf-4515-ab81-9acb0f2365d9,61934bc5-e907-4305-9f05-7821f29ce134"
layq,score_b_per_leg_sharpe,oldwindow,120,5,-58.603351830480754,58.4852396799145,-23.785225839284088,75.71370096449292,0,"9394c439-5763-47b5-a996-af4099e50c32,f1a118cf-c8cb-49c9-991c-b4defe639457,942240e3-889e-4040-bac2-a8607160155d,caf52684-5cbf-4515-ab81-9acb0f2365d9,61934bc5-e907-4305-9f05-7821f29ce134"
layq,score_b_per_leg_sharpe,newwindow,0,5,-12.980900532910917,23.473601195446758,-30.76469422058032,241.34117243706683,1,"9394c439-5763-47b5-a996-af4099e50c32,f1a118cf-c8cb-49c9-991c-b4defe639457,942240e3-889e-4040-bac2-a8607160155d,caf52684-5cbf-4515-ab81-9acb0f2365d9,61934bc5-e907-4305-9f05-7821f29ce134"
layq,score_b_per_leg_sharpe,newwindow,120,5,-26.223979998722097,26.391725444781382,-11.952589952754263,102.58300765114339,0,"9394c439-5763-47b5-a996-af4099e50c32,f1a118cf-c8cb-49c9-991c-b4defe639457,942240e3-889e-4040-bac2-a8607160155d,caf52684-5cbf-4515-ab81-9acb0f2365d9,61934bc5-e907-4305-9f05-7821f29ce134"
layq,score_c_daily_sharpe,oldwindow,0,5,-34.386837858852225,55.34453107402303,-78.20693062404554,204.01261654747844,2,"9394c439-5763-47b5-a996-af4099e50c32,f1a118cf-c8cb-49c9-991c-b4defe639457,ae48c78a-8319-4187-8d3e-8b4fd71a53b0,caf52684-5cbf-4515-ab81-9acb0f2365d9,b1a50c75-29b7-42b9-bc19-57a29761adb8"
layq,score_c_daily_sharpe,oldwindow,120,5,-52.838781764228386,61.76891462989189,-14.214428886386045,88.20018837326286,0,"9394c439-5763-47b5-a996-af4099e50c32,f1a118cf-c8cb-49c9-991c-b4defe639457,ae48c78a-8319-4187-8d3e-8b4fd71a53b0,caf52684-5cbf-4515-ab81-9acb0f2365d9,b1a50c75-29b7-42b9-bc19-57a29761adb8"
layq,score_c_daily_sharpe,newwindow,0,5,-13.152207839883948,25.418630930959342,-33.2951170722746,334.14142103198486,1,"9394c439-5763-47b5-a996-af4099e50c32,f1a118cf-c8cb-49c9-991c-b4defe639457,ae48c78a-8319-4187-8d3e-8b4fd71a53b0,caf52684-5cbf-4515-ab81-9acb0f2365d9,b1a50c75-29b7-42b9-bc19-57a29761adb8"
layq,score_c_daily_sharpe,newwindow,120,5,-28.401768785713273,28.364432680004704,-12.99137748266914,90.01196761692759,0,"9394c439-5763-47b5-a996-af4099e50c32,f1a118cf-c8cb-49c9-991c-b4defe639457,ae48c78a-8319-4187-8d3e-8b4fd71a53b0,caf52684-5cbf-4515-ab81-9acb0f2365d9,b1a50c75-29b7-42b9-bc19-57a29761adb8"
layq,score_d_daily_vol_penalty,oldwindow,0,5,-34.386837858852225,55.34453107402303,-78.20693062404554,204.01261654747844,2,"9394c439-5763-47b5-a996-af4099e50c32,ae48c78a-8319-4187-8d3e-8b4fd71a53b0,f1a118cf-c8cb-49c9-991c-b4defe639457,caf52684-5cbf-4515-ab81-9acb0f2365d9,b1a50c75-29b7-42b9-bc19-57a29761adb8"
layq,score_d_daily_vol_penalty,oldwindow,120,5,-52.838781764228386,61.76891462989189,-14.214428886386045,88.20018837326286,0,"9394c439-5763-47b5-a996-af4099e50c32,ae48c78a-8319-4187-8d3e-8b4fd71a53b0,f1a118cf-c8cb-49c9-991c-b4defe639457,caf52684-5cbf-4515-ab81-9acb0f2365d9,b1a50c75-29b7-42b9-bc19-57a29761adb8"
layq,score_d_daily_vol_penalty,newwindow,0,5,-13.152207839883948,25.418630930959342,-33.2951170722746,334.14142103198486,1,"9394c439-5763-47b5-a996-af4099e50c32,ae48c78a-8319-4187-8d3e-8b4fd71a53b0,f1a118cf-c8cb-49c9-991c-b4defe639457,caf52684-5cbf-4515-ab81-9acb0f2365d9,b1a50c75-29b7-42b9-bc19-57a29761adb8"
layq,score_d_daily_vol_penalty,newwindow,120,5,-28.401768785713273,28.364432680004704,-12.99137748266914,90.01196761692759,0,"9394c439-5763-47b5-a996-af4099e50c32,ae48c78a-8319-4187-8d3e-8b4fd71a53b0,f1a118cf-c8cb-49c9-991c-b4defe639457,caf52684-5cbf-4515-ab81-9acb0f2365d9,b1a50c75-29b7-42b9-bc19-57a29761adb8"
layq,score_e_combined_filter,oldwindow,0,5,-19.780532536564305,52.39770628844896,-59.588665222919325,289.0268333203736,2,"9394c439-5763-47b5-a996-af4099e50c32,f1a118cf-c8cb-49c9-991c-b4defe639457,b1a50c75-29b7-42b9-bc19-57a29761adb8,ffacac20-e106-46e2-803c-664772ffe19e,552f7a51-76be-4a12-856f-f97ef28936ff"
layq,score_e_combined_filter,oldwindow,120,5,-43.56233111856589,58.33575756988377,-12.223973071523574,107.98170757052121,1,"9394c439-5763-47b5-a996-af4099e50c32,f1a118cf-c8cb-49c9-991c-b4defe639457,b1a50c75-29b7-42b9-bc19-57a29761adb8,ffacac20-e106-46e2-803c-664772ffe19e,552f7a51-76be-4a12-856f-f97ef28936ff"
layq,score_e_combined_filter,newwindow,0,5,-9.068237467238255,24.847051091259033,-27.896838238803127,282.0880526270517,1,"9394c439-5763-47b5-a996-af4099e50c32,f1a118cf-c8cb-49c9-991c-b4defe639457,b1a50c75-29b7-42b9-bc19-57a29761adb8,ffacac20-e106-46e2-803c-664772ffe19e,552f7a51-76be-4a12-856f-f97ef28936ff"
layq,score_e_combined_filter,newwindow,120,5,-21.670863096441206,27.419777778509257,-11.230858083553013,120.47592460402366,0,"9394c439-5763-47b5-a996-af4099e50c32,f1a118cf-c8cb-49c9-991c-b4defe639457,b1a50c75-29b7-42b9-bc19-57a29761adb8,ffacac20-e106-46e2-803c-664772ffe19e,552f7a51-76be-4a12-856f-f97ef28936ff"
