experiment_id,session,timestamp,architecture,variant_label,arch_kwargs,feature_variant,train_corpus,horizons,output_formulation,quantiles,seed,param_count,train_seconds,infer_us_per_row,weights_path,config_hash,pinball_3m_q10,pinball_3m_q50,pinball_3m_q90,mae_3m,coverage_3m,calibration_gap_3m,dir_acc_k5_3m,dir_fires_k5_3m,dir_fire_rate_k5_3m,backtest_pnl_k5_3m,backtest_winrate_k5_3m,lag1_autocorr_q50_3m,pinball_7m_q10,pinball_7m_q50,pinball_7m_q90,mae_7m,coverage_7m,calibration_gap_7m,dir_acc_k5_7m,dir_fires_k5_7m,dir_fire_rate_k5_7m,backtest_pnl_k5_7m,backtest_winrate_k5_7m,lag1_autocorr_q50_7m,pinball_15m_q10,pinball_15m_q50,pinball_15m_q90,mae_15m,coverage_15m,calibration_gap_15m,dir_acc_k5_15m,dir_fires_k5_15m,dir_fire_rate_k5_15m,backtest_pnl_k5_15m,backtest_winrate_k5_15m,lag1_autocorr_q50_15m,pinball_3m_q30,pinball_3m_q70,pinball_7m_q30,pinball_7m_q70,pinball_15m_q30,pinball_15m_q70,pinball_1m_q10,pinball_1m_q50,pinball_1m_q90,mae_1m,coverage_1m,calibration_gap_1m,dir_acc_k5_1m,dir_fires_k5_1m,dir_fire_rate_k5_1m,backtest_pnl_k5_1m,backtest_winrate_k5_1m,lag1_autocorr_q50_1m
lstm_tw16_s0_10861cac8a85,S03,2026-05-09T08:52:18.116377,lstm,tw16,"{""time_window"": 16, ""hidden"": 64, ""layers"": 2, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,63625,35.7,1.56,registry\predictor\lstm_tw16_s0_10861cac8a85.pt,10861cac8a85,0.563977,0.918263,0.56187,1.836527,0.7829,0.0171,,0.0,0.0,0.0,,0.7901,0.829303,1.451975,0.786518,2.903951,0.7772,0.0228,,0.0,0.0,0.0,,0.9502,1.223597,2.208331,1.107268,4.416662,0.7567,0.0433,,0.0,0.0,0.0,,0.9811,,,,,,,,,,,,,,,,,,
lstm_tw16_s1_42f90c7c04bc,S03,2026-05-09T08:53:22.556085,lstm,tw16,"{""time_window"": 16, ""hidden"": 64, ""layers"": 2, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,63625,53.6,4.81,registry\predictor\lstm_tw16_s1_42f90c7c04bc.pt,42f90c7c04bc,0.563645,0.917656,0.554416,1.835313,0.7869,0.0131,,0.0,0.0,0.0,,0.809,0.828835,1.4555,0.778279,2.911,0.769,0.031,,0.0,0.0,0.0,,0.8874,1.216058,2.204512,1.108386,4.409024,0.7464,0.0536,,0.0,0.0,0.0,,0.9182,,,,,,,,,,,,,,,,,,
lstm_tw16_s2_583e82b00f4d,S03,2026-05-09T08:54:22.282535,lstm,tw16,"{""time_window"": 16, ""hidden"": 64, ""layers"": 2, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,63625,49.0,2.8,registry\predictor\lstm_tw16_s2_583e82b00f4d.pt,583e82b00f4d,0.56177,0.917452,0.555261,1.834904,0.7964,0.0036,,0.0,0.0,0.0,,0.7746,0.826406,1.462846,0.786157,2.925692,0.7833,0.0167,,0.0,0.0,0.0,,0.8748,1.219889,2.215722,1.095937,4.431445,0.7834,0.0166,,0.0,0.0,0.0,,0.9579,,,,,,,,,,,,,,,,,,
lstm_tw32_s1_3e8a8b31e72d,S03,2026-05-09T08:56:19.917531,lstm,tw32,"{""time_window"": 32, ""hidden"": 64, ""layers"": 2, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,63625,41.6,4.31,registry\predictor\lstm_tw32_s1_3e8a8b31e72d.pt,3e8a8b31e72d,0.570526,0.917569,0.564034,1.835139,0.7725,0.0275,,0.0,0.0,0.0,,0.8786,0.836358,1.449244,0.787237,2.898488,0.771,0.029,,0.0,0.0,0.0,,0.9153,1.244601,2.207204,1.112216,4.414407,0.7452,0.0548,,0.0,0.0,0.0,,0.9789,,,,,,,,,,,,,,,,,,
lstm_tw32_s2_73ce32141b93,S03,2026-05-09T08:57:23.652494,lstm,tw32,"{""time_window"": 32, ""hidden"": 64, ""layers"": 2, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,63625,54.5,1.75,registry\predictor\lstm_tw32_s2_73ce32141b93.pt,73ce32141b93,0.562233,0.91819,0.556269,1.83638,0.7864,0.0136,,0.0,0.0,0.0,,0.8857,0.830148,1.464251,0.778953,2.928502,0.7732,0.0268,,0.0,0.0,0.0,,0.9253,1.233598,2.228564,1.095657,4.457129,0.763,0.037,,0.0,0.0,0.0,,0.9621,,,,,,,,,,,,,,,,,,
lstm_tw64_s0_729ef2512918,S03,2026-05-09T08:58:26.805389,lstm,tw64,"{""time_window"": 64, ""hidden"": 64, ""layers"": 2, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,63625,52.3,4.1,registry\predictor\lstm_tw64_s0_729ef2512918.pt,729ef2512918,0.564149,0.918,0.561779,1.836001,0.7896,0.0104,,0.0,0.0,0.0,,0.9301,0.831205,1.454037,0.787191,2.908075,0.7887,0.0113,,0.0,0.0,0.0,,0.9771,1.222542,2.215134,1.108793,4.430268,0.7645,0.0355,,0.0,0.0,0.0,,0.9768,,,,,,,,,,,,,,,,,,
lstm_tw64_s1_ec88bfa8d823,S03,2026-05-09T08:59:39.357347,lstm,tw64,"{""time_window"": 64, ""hidden"": 64, ""layers"": 2, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,63625,62.4,2.04,registry\predictor\lstm_tw64_s1_ec88bfa8d823.pt,ec88bfa8d823,0.562372,0.917909,0.560803,1.835818,0.7746,0.0254,,0.0,0.0,0.0,,0.9207,0.824065,1.454705,0.793564,2.90941,0.7545,0.0455,,0.0,0.0,0.0,,0.9534,1.224427,2.206852,1.117186,4.413704,0.7267,0.0733,,0.0,0.0,0.0,,0.9447,,,,,,,,,,,,,,,,,,
lstm_tw64_s2_50f9ec5fe166,S03,2026-05-09T09:00:39.390031,lstm,tw64,"{""time_window"": 64, ""hidden"": 64, ""layers"": 2, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,63625,48.7,1.45,registry\predictor\lstm_tw64_s2_50f9ec5fe166.pt,50f9ec5fe166,0.565683,0.917889,0.563057,1.835777,0.7938,0.0062,,0.0,0.0,0.0,,0.8377,0.827684,1.451158,0.791048,2.902315,0.7748,0.0252,,0.0,0.0,0.0,,0.9556,1.236751,2.212049,1.122031,4.424098,0.7417,0.0583,,0.0,0.0,0.0,,0.9749,,,,,,,,,,,,,,,,,,
mlp_d2_s1_2214ce5b445e,S03,2026-05-09T09:02:22.361040,mlp,d2,"{""depth"": 2, ""hidden"": 128, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,22153,95.4,0.89,registry\predictor\mlp_d2_s1_2214ce5b445e.pt,2214ce5b445e,0.546514,0.919408,0.546707,1.838815,0.764,0.036,0.4615,104.0,0.0005,148.4943,0.4615,0.649,0.81136,1.457693,0.773535,2.915386,0.7416,0.0584,0.5365,466.0,0.003,648.3585,0.5365,0.6836,1.210218,2.197419,1.103258,4.394839,0.7172,0.0828,0.7044,697.0,0.0089,1055.4282,0.7044,0.5749,,,,,,,,,,,,,,,,,,
mlp_d2_s2_ab134b31c75f,S03,2026-05-09T09:03:14.419475,mlp,d2,"{""depth"": 2, ""hidden"": 128, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,22153,44.5,0.99,registry\predictor\mlp_d2_s2_ab134b31c75f.pt,ab134b31c75f,0.558359,0.919215,0.555076,1.838429,0.7989,0.0011,,0.0,0.0,0.0,,0.7558,0.825467,1.456079,0.773997,2.912158,0.7767,0.0233,0.8929,28.0,0.0002,68.8173,0.8929,0.6902,1.2323,2.203342,1.106485,4.406684,0.7482,0.0518,0.9231,78.0,0.001,155.8145,0.9231,0.6457,,,,,,,,,,,,,,,,,,
mlp_d3_s0_9d2d6d143762,S03,2026-05-09T09:04:23.973137,mlp,d3,"{""depth"": 3, ""hidden"": 128, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,38665,62.1,1.27,registry\predictor\mlp_d3_s0_9d2d6d143762.pt,9d2d6d143762,0.546136,0.917244,0.543236,1.834489,0.7849,0.0151,0.1667,6.0,0.0,-1.0379,0.1667,0.6023,0.815863,1.453187,0.764828,2.906374,0.7698,0.0302,0.4965,576.0,0.0037,629.5019,0.4965,0.6514,1.233613,2.227784,1.095879,4.455568,0.7558,0.0442,0.6216,843.0,0.0108,1005.7888,0.6216,0.6764,,,,,,,,,,,,,,,,,,
mlp_d3_s1_9a05a4bc65fe,S03,2026-05-09T09:05:22.220652,mlp,d3,"{""depth"": 3, ""hidden"": 128, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,38665,50.8,0.9,registry\predictor\mlp_d3_s1_9a05a4bc65fe.pt,9a05a4bc65fe,0.55478,0.919514,0.544519,1.839027,0.7675,0.0325,0.7778,18.0,0.0001,18.7964,0.7778,0.6914,0.823651,1.451636,0.762805,2.903271,0.7499,0.0501,0.6485,202.0,0.0013,180.0008,0.6485,0.7013,1.245299,2.212903,1.085333,4.425805,0.7308,0.0692,0.8077,260.0,0.0033,292.945,0.8077,0.6162,,,,,,,,,,,,,,,,,,
mlp_d3_s2_823f0a8b3dee,S03,2026-05-09T09:06:37.178495,mlp,d3,"{""depth"": 3, ""hidden"": 128, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,38665,67.6,0.92,registry\predictor\mlp_d3_s2_823f0a8b3dee.pt,823f0a8b3dee,0.542111,0.91839,0.543354,1.83678,0.7898,0.0102,0.4286,7.0,0.0,2.9653,0.4286,0.5263,0.806958,1.458161,0.766502,2.916321,0.7779,0.0221,0.6323,699.0,0.0046,504.3097,0.6323,0.6822,1.206309,2.197583,1.087208,4.395165,0.748,0.052,0.7054,774.0,0.0099,1049.4969,0.7054,0.615,,,,,,,,,,,,,,,,,,
mlp_d4_s0_f9dc97f75b12,S03,2026-05-09T09:07:41.857818,mlp,d4,"{""depth"": 4, ""hidden"": 128, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,55177,57.3,0.98,registry\predictor\mlp_d4_s0_f9dc97f75b12.pt,f9dc97f75b12,0.545943,0.919513,0.546384,1.839025,0.7893,0.0107,0.8333,6.0,0.0,6.1595,0.8333,0.6795,0.81104,1.462836,0.768216,2.925672,0.7756,0.0244,0.575,520.0,0.0034,652.4216,0.575,0.6681,1.21172,2.205733,1.085602,4.411467,0.754,0.046,0.6801,497.0,0.0064,745.2396,0.6801,0.5703,,,,,,,,,,,,,,,,,,
mlp_d4_s1_5eed086b826d,S03,2026-05-09T09:08:59.818878,mlp,d4,"{""depth"": 4, ""hidden"": 128, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,55177,70.6,1.03,registry\predictor\mlp_d4_s1_5eed086b826d.pt,5eed086b826d,0.545445,0.919125,0.543575,1.838251,0.7898,0.0102,1.0,1.0,0.0,2.463,1.0,0.5891,0.816403,1.463841,0.761371,2.927682,0.7662,0.0338,0.8182,132.0,0.0009,181.2061,0.8182,0.6155,1.236178,2.197075,1.069291,4.39415,0.7425,0.0575,0.7564,628.0,0.0081,978.0411,0.7564,0.5657,,,,,,,,,,,,,,,,,,
mlp_d4_s2_039ed8424a04,S03,2026-05-09T09:10:04.157349,mlp,d4,"{""depth"": 4, ""hidden"": 128, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,55177,56.7,1.25,registry\predictor\mlp_d4_s2_039ed8424a04.pt,039ed8424a04,0.547498,0.921016,0.549317,1.842032,0.7622,0.0378,,0.0,0.0,0.0,,0.7486,0.819177,1.45535,0.774056,2.910701,0.7427,0.0573,0.743,214.0,0.0014,253.6907,0.743,0.5653,1.233478,2.194839,1.098227,4.389677,0.7252,0.0748,0.6509,444.0,0.0057,785.2292,0.6509,0.6562,,,,,,,,,,,,,,,,,,
transformer_L2_s0_2215096c4f9c,S03,2026-05-09T09:11:20.233936,transformer,L2,"{""depth"": 2, ""d_model"": 64, ""heads"": 4, ""ctx_ticks"": 32, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,104841,64.0,6.52,registry\predictor\transformer_L2_s0_2215096c4f9c.pt,2215096c4f9c,0.71867,1.165751,0.623519,2.331503,0.6499,0.1501,0.3069,101.0,0.0005,-13.3835,0.3069,0.9949,1.158827,1.75429,0.88395,3.50858,0.7982,0.0018,0.7963,54.0,0.0004,24.8094,0.7963,0.9968,1.314727,2.41978,1.682603,4.839561,0.8228,0.0228,0.6,20.0,0.0003,19.8919,0.6,0.9952,,,,,,,,,,,,,,,,,,
transformer_L2_s1_a360fad028e5,S03,2026-05-09T09:13:12.152520,transformer,L2,"{""depth"": 2, ""d_model"": 64, ""heads"": 4, ""ctx_ticks"": 32, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,104841,99.5,5.52,registry\predictor\transformer_L2_s1_a360fad028e5.pt,a360fad028e5,0.617757,1.751422,0.594719,3.502843,0.7764,0.0236,,0.0,0.0,0.0,,0.9958,1.150918,2.030717,1.233417,4.061434,0.8462,0.0462,0.587,184.0,0.0012,371.3485,0.587,0.9874,1.243489,2.48756,1.294202,4.975119,0.7861,0.0139,0.7576,33.0,0.0004,45.7025,0.7576,0.9888,,,,,,,,,,,,,,,,,,
transformer_L2_s2_2cb139aff98d,S03,2026-05-09T09:15:15.399054,transformer,L2,"{""depth"": 2, ""d_model"": 64, ""heads"": 4, ""ctx_ticks"": 32, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,104841,110.9,7.54,registry\predictor\transformer_L2_s2_2cb139aff98d.pt,2cb139aff98d,0.853634,1.030743,0.935999,2.061486,0.8472,0.0472,,0.0,0.0,0.0,,0.9901,1.140195,1.661152,0.832448,3.322303,0.7805,0.0195,0.6875,16.0,0.0001,37.3108,0.6875,0.9949,1.432674,2.991049,1.247535,5.982098,0.7431,0.0569,0.6286,35.0,0.0004,47.4546,0.6286,0.9975,,,,,,,,,,,,,,,,,,
