experiment_id,session,timestamp,architecture,variant_label,arch_kwargs,feature_variant,train_corpus,horizons,output_formulation,quantiles,seed,param_count,train_seconds,infer_us_per_row,weights_path,config_hash,pinball_3m_q10,pinball_3m_q50,pinball_3m_q90,mae_3m,coverage_3m,calibration_gap_3m,dir_acc_k5_3m,dir_fires_k5_3m,dir_fire_rate_k5_3m,backtest_pnl_k5_3m,backtest_winrate_k5_3m,lag1_autocorr_q50_3m,pinball_7m_q10,pinball_7m_q50,pinball_7m_q90,mae_7m,coverage_7m,calibration_gap_7m,dir_acc_k5_7m,dir_fires_k5_7m,dir_fire_rate_k5_7m,backtest_pnl_k5_7m,backtest_winrate_k5_7m,lag1_autocorr_q50_7m,pinball_15m_q10,pinball_15m_q50,pinball_15m_q90,mae_15m,coverage_15m,calibration_gap_15m,dir_acc_k5_15m,dir_fires_k5_15m,dir_fire_rate_k5_15m,backtest_pnl_k5_15m,backtest_winrate_k5_15m,lag1_autocorr_q50_15m,pinball_3m_q30,pinball_3m_q70,pinball_7m_q30,pinball_7m_q70,pinball_15m_q30,pinball_15m_q70,pinball_1m_q10,pinball_1m_q50,pinball_1m_q90,mae_1m,coverage_1m,calibration_gap_1m,dir_acc_k5_1m,dir_fires_k5_1m,dir_fire_rate_k5_1m,backtest_pnl_k5_1m,backtest_winrate_k5_1m,lag1_autocorr_q50_1m
transformer_L4_s0_c5896fd050ed,S03,2026-05-09T09:16:52.222303,transformer,L4,"{""depth"": 4, ""d_model"": 64, ""heads"": 4, ""ctx_ticks"": 32, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,204809,83.2,16.49,registry\predictor\transformer_L4_s0_c5896fd050ed.pt,c5896fd050ed,0.623126,1.378598,0.72861,2.757196,0.7974,0.0026,0.0476,42.0,0.0002,-3.3978,0.0476,0.9959,1.201214,2.239551,1.105412,4.479103,0.7812,0.0188,0.1336,217.0,0.0014,-66.9222,0.1336,0.9975,1.377329,2.42087,1.334914,4.841739,0.7219,0.0781,0.425,40.0,0.0005,7.5879,0.425,0.9937,,,,,,,,,,,,,,,,,,
transformer_L4_s1_3836264b5799,S03,2026-05-09T09:19:16.309547,transformer,L4,"{""depth"": 4, ""d_model"": 64, ""heads"": 4, ""ctx_ticks"": 32, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,204809,130.7,16.12,registry\predictor\transformer_L4_s1_3836264b5799.pt,3836264b5799,0.669162,1.160846,0.641989,2.321693,0.768,0.032,,0.0,0.0,0.0,,0.9893,1.993819,1.712811,0.873364,3.425622,0.8064,0.0064,0.6,35.0,0.0002,49.773,0.6,0.9781,1.681511,2.437251,1.493355,4.874503,0.7203,0.0797,0.4712,1197.0,0.0154,118.7299,0.4712,0.9933,,,,,,,,,,,,,,,,,,
transformer_L4_s2_adf09d993198,S03,2026-05-09T09:21:04.655906,transformer,L4,"{""depth"": 4, ""d_model"": 64, ""heads"": 4, ""ctx_ticks"": 32, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,204809,94.7,16.04,registry\predictor\transformer_L4_s2_adf09d993198.pt,adf09d993198,0.876855,1.403767,0.911593,2.807534,0.8507,0.0507,1.0,1.0,0.0,2.0854,1.0,0.9933,0.958896,1.693406,0.853313,3.386812,0.7817,0.0183,0.4578,249.0,0.0016,65.9153,0.4578,0.9939,1.73298,2.353215,1.319829,4.70643,0.8008,0.0008,0.3492,189.0,0.0024,-59.4434,0.3492,0.9942,,,,,,,,,,,,,,,,,,
transformer_L6_s0_283b51190938,S03,2026-05-09T09:26:25.970985,transformer,L6,"{""depth"": 6, ""d_model"": 64, ""heads"": 4, ""ctx_ticks"": 32, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,304777,306.5,17.29,registry\predictor\transformer_L6_s0_283b51190938.pt,283b51190938,0.618499,1.295328,0.645341,2.590657,0.7595,0.0405,,0.0,0.0,0.0,,0.9927,0.922619,1.582437,1.195323,3.164874,0.6568,0.1432,0.5227,88.0,0.0006,56.5582,0.5227,0.9829,1.607311,2.31349,1.192596,4.626981,0.7767,0.0233,0.5,164.0,0.0021,75.7459,0.5,0.9756,,,,,,,,,,,,,,,,,,
transformer_L6_s1_07195d309952,S03,2026-05-09T09:30:04.565583,transformer,L6,"{""depth"": 6, ""d_model"": 64, ""heads"": 4, ""ctx_ticks"": 32, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,304777,203.3,22.71,registry\predictor\transformer_L6_s1_07195d309952.pt,07195d309952,0.810195,1.061021,0.696705,2.122041,0.7525,0.0475,0.4149,94.0,0.0005,6.5252,0.4149,0.9781,0.986672,1.788779,1.065264,3.577557,0.8284,0.0284,0.3474,521.0,0.0034,488.4672,0.3474,0.9813,1.443767,3.076556,1.240088,6.153112,0.7784,0.0216,0.7419,31.0,0.0004,43.8592,0.7419,0.9989,,,,,,,,,,,,,,,,,,
transformer_L6_s2_420025a97c3d,S03,2026-05-09T09:35:07.566075,transformer,L6,"{""depth"": 6, ""d_model"": 64, ""heads"": 4, ""ctx_ticks"": 32, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,304777,287.7,25.45,registry\predictor\transformer_L6_s2_420025a97c3d.pt,420025a97c3d,0.773912,0.9907,1.048274,1.9814,0.7334,0.0666,0.0,4.0,0.0,-0.3051,0.0,0.9843,1.078907,1.85937,0.889649,3.71874,0.8103,0.0103,0.617,47.0,0.0003,57.4344,0.617,0.9964,1.522272,2.29521,1.259075,4.590421,0.779,0.021,0.419,105.0,0.0013,58.0167,0.419,0.9857,,,,,,,,,,,,,,,,,,
lstm_tw32_s0_1822edb0945f,S03,2026-05-09T09:40:10.358479,lstm,tw32,"{""time_window"": 32, ""hidden"": 64, ""layers"": 2, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,63625,40.5,4.36,registry\predictor\lstm_tw32_s0_1822edb0945f.pt,1822edb0945f,0.562161,0.91801,0.558448,1.836021,0.8003,0.0003,,0.0,0.0,0.0,,0.8287,0.822194,1.465709,0.787067,2.931417,0.779,0.021,,0.0,0.0,0.0,,0.925,1.231735,2.227207,1.109581,4.454413,0.7523,0.0477,,0.0,0.0,0.0,,0.9528,,,,,,,,,,,,,,,,,,
gbm_t100d4_s0_086cc4eb5c19,S04,2026-05-09T11:01:41.202870,gbm,t100d4,"{""n_trees"": 100, ""max_depth"": 4, ""learning_rate"": 0.05}",V1,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,668,11.7,3.02,registry\predictor\gbm_t100d4_s0_086cc4eb5c19.joblib,086cc4eb5c19,0.537058,0.91694,0.536843,1.83388,0.7846,0.0154,,0.0,0.0,0.0,,1.0,0.789764,1.447605,0.744472,2.89521,0.7767,0.0233,,0.0,0.0,0.0,,1.0,1.167423,2.188935,1.044259,4.377869,0.7638,0.0362,,0.0,0.0,0.0,,0.8979,,,,,,,,,,,,,,,,,,
gbm_t100d4_s1_589bfff9ec01,S04,2026-05-09T11:01:57.228004,gbm,t100d4,"{""n_trees"": 100, ""max_depth"": 4, ""learning_rate"": 0.05}",V1,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,668,11.5,3.22,registry\predictor\gbm_t100d4_s1_589bfff9ec01.joblib,589bfff9ec01,0.537058,0.91694,0.536843,1.83388,0.7846,0.0154,,0.0,0.0,0.0,,1.0,0.789764,1.447605,0.744472,2.89521,0.7767,0.0233,,0.0,0.0,0.0,,1.0,1.167423,2.188935,1.044259,4.377869,0.7638,0.0362,,0.0,0.0,0.0,,0.8979,,,,,,,,,,,,,,,,,,
gbm_t100d4_s2_b359ff79c019,S04,2026-05-09T11:02:13.260049,gbm,t100d4,"{""n_trees"": 100, ""max_depth"": 4, ""learning_rate"": 0.05}",V1,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,668,11.6,2.92,registry\predictor\gbm_t100d4_s2_b359ff79c019.joblib,b359ff79c019,0.537058,0.91694,0.536843,1.83388,0.7846,0.0154,,0.0,0.0,0.0,,1.0,0.789764,1.447605,0.744472,2.89521,0.7767,0.0233,,0.0,0.0,0.0,,1.0,1.167423,2.188935,1.044259,4.377869,0.7638,0.0362,,0.0,0.0,0.0,,0.8979,,,,,,,,,,,,,,,,,,
