experiment_id,session,timestamp,architecture,variant_label,arch_kwargs,feature_variant,train_corpus,horizons,output_formulation,quantiles,seed,param_count,train_seconds,infer_us_per_row,weights_path,config_hash,pinball_3m_q10,pinball_3m_q50,pinball_3m_q90,mae_3m,coverage_3m,calibration_gap_3m,dir_acc_k5_3m,dir_fires_k5_3m,dir_fire_rate_k5_3m,backtest_pnl_k5_3m,backtest_winrate_k5_3m,lag1_autocorr_q50_3m,pinball_7m_q10,pinball_7m_q50,pinball_7m_q90,mae_7m,coverage_7m,calibration_gap_7m,dir_acc_k5_7m,dir_fires_k5_7m,dir_fire_rate_k5_7m,backtest_pnl_k5_7m,backtest_winrate_k5_7m,lag1_autocorr_q50_7m,pinball_15m_q10,pinball_15m_q50,pinball_15m_q90,mae_15m,coverage_15m,calibration_gap_15m,dir_acc_k5_15m,dir_fires_k5_15m,dir_fire_rate_k5_15m,backtest_pnl_k5_15m,backtest_winrate_k5_15m,lag1_autocorr_q50_15m,pinball_3m_q30,pinball_3m_q70,pinball_7m_q30,pinball_7m_q70,pinball_15m_q30,pinball_15m_q70,pinball_1m_q10,pinball_1m_q50,pinball_1m_q90,mae_1m,coverage_1m,calibration_gap_1m,dir_acc_k5_1m,dir_fires_k5_1m,dir_fire_rate_k5_1m,backtest_pnl_k5_1m,backtest_winrate_k5_1m,lag1_autocorr_q50_1m,pinball_1m_q30,pinball_1m_q70
lstm_tw32_s2_c5eb9302c814,S04_neural,2026-05-09T13:59:55.077811,lstm,tw32,"{""time_window"": 32, ""hidden"": 64, ""layers"": 2, ""dropout"": 0.1}",V4,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,64905,185.1,4.38,registry\predictor\lstm_tw32_s2_c5eb9302c814.pt,c5eb9302c814,0.545808,0.917313,0.537655,1.834627,0.7855,0.0145,,0.0,0.0,0.0,,0.8287,0.80472,1.43996,0.750914,2.879921,0.7693,0.0307,0.9328,119.0,0.0008,157.1523,0.9328,0.9128,1.194965,2.16649,1.058771,4.332979,0.7683,0.0317,0.9006,161.0,0.0021,196.3731,0.9006,0.9483,,,,,,,,,,,,,,,,,,,,
lstm_tw32_s0_37c1b18fac28,S04_neural,2026-05-09T14:00:44.744914,lstm,tw32,"{""time_window"": 32, ""hidden"": 64, ""layers"": 2, ""dropout"": 0.1}",V4,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,64905,37.6,4.54,registry\predictor\lstm_tw32_s0_37c1b18fac28.pt,37c1b18fac28,0.56333,0.918569,0.560806,1.837138,0.8078,0.0078,,0.0,0.0,0.0,,0.8047,0.825526,1.460406,0.789862,2.920813,0.794,0.006,,0.0,0.0,0.0,,0.8914,1.22298,2.220423,1.117791,4.440847,0.78,0.02,,0.0,0.0,0.0,,0.9641,,,,,,,,,,,,,,,,,,,,
lstm_tw32_s1_05cc74233e06,S04_neural,2026-05-09T14:01:34.049887,lstm,tw32,"{""time_window"": 32, ""hidden"": 64, ""layers"": 2, ""dropout"": 0.1}",V4,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,64905,37.5,4.44,registry\predictor\lstm_tw32_s1_05cc74233e06.pt,05cc74233e06,0.56484,0.917951,0.560544,1.835902,0.7837,0.0163,,0.0,0.0,0.0,,0.8112,0.831787,1.457669,0.787114,2.915337,0.7716,0.0284,,0.0,0.0,0.0,,0.9423,1.231632,2.209244,1.108785,4.418488,0.7554,0.0446,,0.0,0.0,0.0,,0.9852,,,,,,,,,,,,,,,,,,,,
lstm_tw32_s2_95c5e75f8f50,S04_neural,2026-05-09T14:02:18.111674,lstm,tw32,"{""time_window"": 32, ""hidden"": 64, ""layers"": 2, ""dropout"": 0.1}",V4,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,64905,32.0,4.39,registry\predictor\lstm_tw32_s2_95c5e75f8f50.pt,95c5e75f8f50,0.565852,0.918103,0.56153,1.836205,0.7781,0.0219,,0.0,0.0,0.0,,0.8169,0.827465,1.450338,0.790209,2.900675,0.7642,0.0358,,0.0,0.0,0.0,,0.9115,1.236383,2.204784,1.111131,4.409568,0.736,0.064,,0.0,0.0,0.0,,0.9551,,,,,,,,,,,,,,,,,,,,
lstm_tw32_s0_85c3f8415c19,S04_neural,2026-05-09T14:07:15.995572,lstm,tw32,"{""time_window"": 32, ""hidden"": 64, ""layers"": 2, ""dropout"": 0.1}",V5,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,65929,278.9,5.45,registry\predictor\lstm_tw32_s0_85c3f8415c19.pt,85c3f8415c19,0.565741,0.917635,0.551764,1.835271,0.7991,0.0009,,0.0,0.0,0.0,,0.8895,0.818244,1.457806,0.775297,2.915612,0.7668,0.0332,0.8243,74.0,0.0005,68.9548,0.8243,0.9448,1.207925,2.211834,1.094902,4.423668,0.7477,0.0523,0.7798,1099.0,0.0141,911.1522,0.7798,0.9835,,,,,,,,,,,,,,,,,,,,
lstm_tw32_s1_c79e9c6f42c8,S04_neural,2026-05-09T14:13:58.485649,lstm,tw32,"{""time_window"": 32, ""hidden"": 64, ""layers"": 2, ""dropout"": 0.1}",V5,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,65929,383.4,4.54,registry\predictor\lstm_tw32_s1_c79e9c6f42c8.pt,c79e9c6f42c8,0.568696,0.917593,0.549795,1.835186,0.7569,0.0431,,0.0,0.0,0.0,,0.9689,0.829995,1.442129,0.769963,2.884257,0.7334,0.0666,0.6822,365.0,0.0024,289.8391,0.6822,0.9489,1.230467,2.180504,1.088664,4.361008,0.7096,0.0904,0.8211,710.0,0.0091,579.0795,0.8211,0.9752,,,,,,,,,,,,,,,,,,,,
lstm_tw32_s2_946e0a652fb6,S04_neural,2026-05-09T14:19:41.937596,lstm,tw32,"{""time_window"": 32, ""hidden"": 64, ""layers"": 2, ""dropout"": 0.1}",V5,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,65929,324.2,4.44,registry\predictor\lstm_tw32_s2_946e0a652fb6.pt,946e0a652fb6,0.563378,0.917506,0.56081,1.835012,0.7757,0.0243,,0.0,0.0,0.0,,0.9591,0.813069,1.451109,0.775927,2.902218,0.765,0.035,,0.0,0.0,0.0,,0.9479,1.189933,2.173236,1.0956,4.346472,0.7468,0.0532,0.7664,214.0,0.0027,203.1679,0.7664,0.9734,,,,,,,,,,,,,,,,,,,,
lstm_tw32_s0_0fe4f0a2fb36,S04_neural,2026-05-09T14:20:47.177731,lstm,tw32,"{""time_window"": 32, ""hidden"": 64, ""layers"": 2, ""dropout"": 0.1}",V5,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,65929,53.6,4.57,registry\predictor\lstm_tw32_s0_0fe4f0a2fb36.pt,0fe4f0a2fb36,0.574354,0.917716,0.569242,1.835431,0.7891,0.0109,,0.0,0.0,0.0,,0.9242,0.840773,1.452133,0.800147,2.904266,0.7737,0.0263,,0.0,0.0,0.0,,0.9752,1.236832,2.215473,1.122518,4.430945,0.7491,0.0509,,0.0,0.0,0.0,,0.9872,,,,,,,,,,,,,,,,,,,,
lstm_tw32_s1_9a19b0de80e9,S04_neural,2026-05-09T14:21:36.117864,lstm,tw32,"{""time_window"": 32, ""hidden"": 64, ""layers"": 2, ""dropout"": 0.1}",V5,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,65929,36.9,4.47,registry\predictor\lstm_tw32_s1_9a19b0de80e9.pt,9a19b0de80e9,0.577045,0.917701,0.576787,1.835401,0.8147,0.0147,,0.0,0.0,0.0,,0.8829,0.844507,1.449006,0.801492,2.898012,0.7855,0.0145,,0.0,0.0,0.0,,0.973,1.244423,2.204019,1.12667,4.408037,0.7622,0.0378,,0.0,0.0,0.0,,0.992,,,,,,,,,,,,,,,,,,,,
lstm_tw32_s2_ee23ebcb96c4,S04_neural,2026-05-09T14:22:42.339420,lstm,tw32,"{""time_window"": 32, ""hidden"": 64, ""layers"": 2, ""dropout"": 0.1}",V5,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,65929,54.9,4.42,registry\predictor\lstm_tw32_s2_ee23ebcb96c4.pt,ee23ebcb96c4,0.575249,0.918973,0.568196,1.837946,0.7886,0.0114,,0.0,0.0,0.0,,0.963,0.838085,1.454322,0.795507,2.908643,0.7656,0.0344,,0.0,0.0,0.0,,0.9604,1.222802,2.218474,1.104347,4.436948,0.7547,0.0453,,0.0,0.0,0.0,,0.9843,,,,,,,,,,,,,,,,,,,,
