experiment_id,session,timestamp,architecture,variant_label,arch_kwargs,feature_variant,train_corpus,horizons,output_formulation,quantiles,seed,param_count,train_seconds,infer_us_per_row,weights_path,config_hash,pinball_3m_q10,pinball_3m_q50,pinball_3m_q90,mae_3m,coverage_3m,calibration_gap_3m,dir_acc_k5_3m,dir_fires_k5_3m,dir_fire_rate_k5_3m,backtest_pnl_k5_3m,backtest_winrate_k5_3m,lag1_autocorr_q50_3m,pinball_7m_q10,pinball_7m_q50,pinball_7m_q90,mae_7m,coverage_7m,calibration_gap_7m,dir_acc_k5_7m,dir_fires_k5_7m,dir_fire_rate_k5_7m,backtest_pnl_k5_7m,backtest_winrate_k5_7m,lag1_autocorr_q50_7m,pinball_15m_q10,pinball_15m_q50,pinball_15m_q90,mae_15m,coverage_15m,calibration_gap_15m,dir_acc_k5_15m,dir_fires_k5_15m,dir_fire_rate_k5_15m,backtest_pnl_k5_15m,backtest_winrate_k5_15m,lag1_autocorr_q50_15m,pinball_3m_q30,pinball_3m_q70,pinball_7m_q30,pinball_7m_q70,pinball_15m_q30,pinball_15m_q70,pinball_1m_q10,pinball_1m_q50,pinball_1m_q90,mae_1m,coverage_1m,calibration_gap_1m,dir_acc_k5_1m,dir_fires_k5_1m,dir_fire_rate_k5_1m,backtest_pnl_k5_1m,backtest_winrate_k5_1m,lag1_autocorr_q50_1m,pinball_1m_q30,pinball_1m_q70
conv1d_k3_s1_54c32fa367bf,S04_neural,2026-05-09T12:49:08.615261,conv1d,k3,"{""kernel"": 3, ""layers"": 4, ""channels"": 64, ""dropout"": 0.1}",V5,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,50121,36.3,3.74,registry\predictor\conv1d_k3_s1_54c32fa367bf.pt,54c32fa367bf,0.559121,0.91883,0.55537,1.83766,0.7756,0.0244,,0.0,0.0,0.0,,0.5981,0.82073,1.450313,0.779419,2.900627,0.767,0.033,,0.0,0.0,0.0,,0.6195,1.213797,2.217874,1.100285,4.435749,0.7373,0.0627,0.8196,194.0,0.0025,236.2764,0.8196,0.6753,,,,,,,,,,,,,,,,,,,,
conv1d_k3_s2_685caf23ac03,S04_neural,2026-05-09T12:50:04.346103,conv1d,k3,"{""kernel"": 3, ""layers"": 4, ""channels"": 64, ""dropout"": 0.1}",V5,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,50121,47.0,3.8,registry\predictor\conv1d_k3_s2_685caf23ac03.pt,685caf23ac03,0.560427,0.919031,0.551495,1.838062,0.773,0.027,,0.0,0.0,0.0,,0.573,0.818896,1.452997,0.775299,2.905993,0.7479,0.0521,0.5043,470.0,0.0031,693.0563,0.5043,0.6662,1.218397,2.207189,1.119454,4.414377,0.7097,0.0903,0.5402,659.0,0.0085,900.5599,0.5402,0.6401,,,,,,,,,,,,,,,,,,,,
lstm_tw32_s0_8df3a93f714c,S04_neural,2026-05-09T12:57:53.974083,lstm,tw32,"{""time_window"": 32, ""hidden"": 64, ""layers"": 2, ""dropout"": 0.1}",V1,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,59017,455.7,4.92,registry\predictor\lstm_tw32_s0_8df3a93f714c.pt,8df3a93f714c,0.535275,0.918652,0.52502,1.837305,0.778,0.022,0.381,21.0,0.0001,8.0878,0.381,0.8865,0.795237,1.437345,0.741262,2.874689,0.7725,0.0275,0.8272,162.0,0.0011,170.7228,0.8272,0.9001,1.198694,2.16906,1.058784,4.338119,0.7568,0.0432,0.8585,544.0,0.007,706.0706,0.8585,0.9376,,,,,,,,,,,,,,,,,,,,
lstm_tw32_s1_456a60d7247e,S04_neural,2026-05-09T13:00:50.831213,lstm,tw32,"{""time_window"": 32, ""hidden"": 64, ""layers"": 2, ""dropout"": 0.1}",V1,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,59017,159.1,4.29,registry\predictor\lstm_tw32_s1_456a60d7247e.pt,456a60d7247e,0.552318,0.917572,0.557935,1.835145,0.7752,0.0248,,0.0,0.0,0.0,,0.9534,0.814521,1.452267,0.780262,2.904534,0.779,0.021,,0.0,0.0,0.0,,0.9375,1.204399,2.202409,1.109217,4.404818,0.7524,0.0476,0.7794,68.0,0.0009,49.9024,0.7794,0.9761,,,,,,,,,,,,,,,,,,,,
lstm_tw32_s2_7eee4f672c44,S04_neural,2026-05-09T13:05:40.957898,lstm,tw32,"{""time_window"": 32, ""hidden"": 64, ""layers"": 2, ""dropout"": 0.1}",V1,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,59017,273.2,4.96,registry\predictor\lstm_tw32_s2_7eee4f672c44.pt,7eee4f672c44,0.536618,0.920008,0.527604,1.840016,0.806,0.006,,0.0,0.0,0.0,,0.946,0.793891,1.440906,0.736039,2.881812,0.7716,0.0284,0.7383,428.0,0.0028,378.4693,0.7383,0.9353,1.205696,2.160207,1.046302,4.320413,0.7601,0.0399,0.8819,601.0,0.0077,617.0377,0.8819,0.9715,,,,,,,,,,,,,,,,,,,,
lstm_tw32_s0_a8e72cacfe59,S04_neural,2026-05-09T13:12:16.233920,lstm,tw32,"{""time_window"": 32, ""hidden"": 64, ""layers"": 2, ""dropout"": 0.1}",V2,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,61577,377.2,5.06,registry\predictor\lstm_tw32_s0_a8e72cacfe59.pt,a8e72cacfe59,0.535945,0.918018,0.52486,1.836035,0.7914,0.0086,,0.0,0.0,0.0,,0.9756,0.794759,1.433607,0.733756,2.867214,0.7762,0.0238,0.8407,113.0,0.0007,91.7984,0.8407,0.9462,1.192248,2.151119,1.039715,4.302239,0.7506,0.0494,0.8863,255.0,0.0033,231.7349,0.8863,0.9383,,,,,,,,,,,,,,,,,,,,
lstm_tw32_s1_cbe2c7c16261,S04_neural,2026-05-09T13:19:30.478021,lstm,tw32,"{""time_window"": 32, ""hidden"": 64, ""layers"": 2, ""dropout"": 0.1}",V2,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,61577,416.9,4.28,registry\predictor\lstm_tw32_s1_cbe2c7c16261.pt,cbe2c7c16261,0.530632,0.917823,0.526336,1.835646,0.7774,0.0226,,0.0,0.0,0.0,,0.9385,0.78904,1.438877,0.740085,2.877753,0.7648,0.0352,0.7229,433.0,0.0028,311.1325,0.7229,0.9344,1.206792,2.161393,1.062759,4.322787,0.7338,0.0662,0.8519,918.0,0.0118,746.9599,0.8519,0.9441,,,,,,,,,,,,,,,,,,,,
lstm_tw32_s2_dcb28e172fc9,S04_neural,2026-05-09T13:27:08.939759,lstm,tw32,"{""time_window"": 32, ""hidden"": 64, ""layers"": 2, ""dropout"": 0.1}",V2,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,61577,441.1,4.33,registry\predictor\lstm_tw32_s2_dcb28e172fc9.pt,dcb28e172fc9,0.535138,0.917237,0.520857,1.834475,0.786,0.014,,0.0,0.0,0.0,,0.9379,0.789298,1.428687,0.724641,2.857374,0.7777,0.0223,0.871,62.0,0.0004,80.3419,0.871,0.9491,1.178331,2.13661,1.032154,4.27322,0.7502,0.0498,0.9098,687.0,0.0088,686.2453,0.9098,0.9469,,,,,,,,,,,,,,,,,,,,
lstm_tw32_s0_f33029c537e1,S04_neural,2026-05-09T13:32:40.278696,lstm,tw32,"{""time_window"": 32, ""hidden"": 64, ""layers"": 2, ""dropout"": 0.1}",V3,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,63625,313.1,4.37,registry\predictor\lstm_tw32_s0_f33029c537e1.pt,f33029c537e1,0.535776,0.918126,0.534889,1.836251,0.7739,0.0261,,0.0,0.0,0.0,,0.9102,0.792795,1.44426,0.753317,2.888519,0.7525,0.0475,0.5377,199.0,0.0013,94.8454,0.5377,0.9047,1.200814,2.174468,1.06026,4.348936,0.739,0.061,0.7977,974.0,0.0125,689.4816,0.7977,0.8953,,,,,,,,,,,,,,,,,,,,
lstm_tw32_s1_c18c22a2a60a,S04_neural,2026-05-09T13:38:18.625493,lstm,tw32,"{""time_window"": 32, ""hidden"": 64, ""layers"": 2, ""dropout"": 0.1}",V3,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,63625,319.6,4.31,registry\predictor\lstm_tw32_s1_c18c22a2a60a.pt,c18c22a2a60a,0.54201,0.917707,0.533966,1.835414,0.7734,0.0266,,0.0,0.0,0.0,,0.8433,0.806346,1.440486,0.744866,2.880972,0.7652,0.0348,0.8443,122.0,0.0008,165.9241,0.8443,0.7677,1.213326,2.156339,1.042015,4.312677,0.7478,0.0522,0.9302,358.0,0.0046,562.7884,0.9302,0.9228,,,,,,,,,,,,,,,,,,,,
lstm_tw32_s2_ad763adb8c0e,S04_neural,2026-05-09T13:42:32.004894,lstm,tw32,"{""time_window"": 32, ""hidden"": 64, ""layers"": 2, ""dropout"": 0.1}",V3,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,63625,234.6,4.34,registry\predictor\lstm_tw32_s2_ad763adb8c0e.pt,ad763adb8c0e,0.547691,0.917733,0.544264,1.835465,0.7769,0.0231,,0.0,0.0,0.0,,0.9038,0.805498,1.448338,0.757704,2.896676,0.7696,0.0304,0.7704,135.0,0.0009,184.8104,0.7704,0.8607,1.194657,2.184822,1.049657,4.369644,0.7646,0.0354,0.8106,301.0,0.0039,317.9288,0.8106,0.9485,,,,,,,,,,,,,,,,,,,,
lstm_tw32_s0_2e19eb3e48e0,S04_neural,2026-05-09T13:43:26.516196,lstm,tw32,"{""time_window"": 32, ""hidden"": 64, ""layers"": 2, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,63625,42.3,4.41,registry\predictor\lstm_tw32_s0_2e19eb3e48e0.pt,2e19eb3e48e0,0.562161,0.91801,0.558448,1.836021,0.8003,0.0003,,0.0,0.0,0.0,,0.8287,0.822194,1.465709,0.787067,2.931417,0.779,0.021,,0.0,0.0,0.0,,0.925,1.231735,2.227207,1.109581,4.454413,0.7523,0.0477,,0.0,0.0,0.0,,0.9528,,,,,,,,,,,,,,,,,,,,
lstm_tw32_s1_e2d6bd5f9003,S04_neural,2026-05-09T13:44:09.510313,lstm,tw32,"{""time_window"": 32, ""hidden"": 64, ""layers"": 2, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,63625,31.9,4.36,registry\predictor\lstm_tw32_s1_e2d6bd5f9003.pt,e2d6bd5f9003,0.570526,0.917569,0.564034,1.835139,0.7725,0.0275,,0.0,0.0,0.0,,0.8786,0.836358,1.449244,0.787237,2.898488,0.771,0.029,,0.0,0.0,0.0,,0.9153,1.244601,2.207204,1.112216,4.414407,0.7452,0.0548,,0.0,0.0,0.0,,0.9789,,,,,,,,,,,,,,,,,,,,
lstm_tw32_s2_2931543c7b82,S04_neural,2026-05-09T13:45:03.267131,lstm,tw32,"{""time_window"": 32, ""hidden"": 64, ""layers"": 2, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,63625,42.5,4.33,registry\predictor\lstm_tw32_s2_2931543c7b82.pt,2931543c7b82,0.562233,0.91819,0.556269,1.83638,0.7864,0.0136,,0.0,0.0,0.0,,0.8857,0.830148,1.464251,0.778953,2.928502,0.7732,0.0268,,0.0,0.0,0.0,,0.9253,1.233598,2.228564,1.095657,4.457129,0.763,0.037,,0.0,0.0,0.0,,0.9621,,,,,,,,,,,,,,,,,,,,
lstm_tw32_s0_717e71532f5f,S04_neural,2026-05-09T13:51:26.945400,lstm,tw32,"{""time_window"": 32, ""hidden"": 64, ""layers"": 2, ""dropout"": 0.1}",V4,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,64905,364.9,4.63,registry\predictor\lstm_tw32_s0_717e71532f5f.pt,717e71532f5f,0.533942,0.917942,0.530669,1.835884,0.7823,0.0177,,0.0,0.0,0.0,,0.7851,0.789503,1.444801,0.743515,2.889603,0.7583,0.0417,0.5751,273.0,0.0018,267.1689,0.5751,0.8039,1.185256,2.173009,1.050729,4.346019,0.7451,0.0549,0.8744,390.0,0.005,448.1603,0.8744,0.8801,,,,,,,,,,,,,,,,,,,,
lstm_tw32_s1_824a9ddd2967,S04_neural,2026-05-09T13:56:31.036751,lstm,tw32,"{""time_window"": 32, ""hidden"": 64, ""layers"": 2, ""dropout"": 0.1}",V4,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,64905,285.7,4.39,registry\predictor\lstm_tw32_s1_824a9ddd2967.pt,824a9ddd2967,0.545,0.920794,0.531403,1.841587,0.7727,0.0273,,0.0,0.0,0.0,,0.9435,0.808666,1.434006,0.743314,2.868012,0.7607,0.0393,0.7754,374.0,0.0024,364.8735,0.7754,0.8706,1.192341,2.155581,1.048491,4.311162,0.7674,0.0326,0.838,142.0,0.0018,310.7067,0.838,0.937,,,,,,,,,,,,,,,,,,,,
