# CACHED full-agent profile
# day=2026-04-10 device=cpu lean=True
# wall=62.237 n_steps=11853 n_updates=744

=== cumulative (top 40) ===
         47244822 function calls (46676056 primitive calls) in 62.026 seconds

   Ordered by: cumulative time
   List reduced from 584 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   592059    0.377    0.000    0.377    0.000 C:\Users\jsmit\source\repos\rl-betfair\.venv\Lib\site-packages\torch\nn\modules\module.py:1955(__getattr__)
    11854    0.362    0.000    2.107    0.000 C:\Users\jsmit\source\repos\rl-betfair\env\betfair_env.py:2905(_get_info)
   442250    0.361    0.000    0.361    0.000 <string>:2(__init__)
    61497    0.349    0.000    0.349    0.000 {method 'reshape' of 'torch._C.TensorBase' objects}
   710038    0.346    0.000    0.511    0.000 {built-in method builtins.max}
   676248    0.346    0.000    1.606    0.000 {method 'clip' of 'numpy.ndarray' objects}
  1661418    0.326    0.000    0.326    0.000 {method 'get' of 'dict' objects}
    12597    0.323    0.000    0.323    0.000 {built-in method torch.layer_norm}
    37791    0.304    0.000    0.304    0.000 {built-in method torch.relu}
   277134    0.299    0.000    0.299    0.000 {built-in method torch._C._get_tracing_state}
   731504    0.299    0.000    0.299    0.000 {built-in method builtins.round}
    47412    0.293    0.000    0.293    0.000 {method 'copy_' of 'torch._C.TensorBase' objects}


